Causas (lista perinatal reducida);Sexo;Nacional;Comunidades y Ciudades Autónomas;Total
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Andalucía;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Aragón;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Asturias, Principado de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Balears, Illes;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Canarias;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Cantabria;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Castilla y León;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Castilla-La Mancha;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Catalu¤a;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Comunitat Valenciana;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Extremadura;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Galicia;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Madrid, Comunidad de;1
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Murcia, Región de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Navarra, Comunidad Foral de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;País Vasco;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Rioja, La;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Ceuta;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Total;Melilla;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Hombres;Extranjero;;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Andalucía;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Aragón;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Asturias, Principado de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Balears, Illes;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Canarias;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Cantabria;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Castilla y León;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Castilla-La Mancha;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Catalu¤a;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Comunitat Valenciana;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Extremadura;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Galicia;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Madrid, Comunidad de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Murcia, Región de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Navarra, Comunidad Foral de;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;País Vasco;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Rioja, La;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Ceuta;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Total;Melilla;0
13 Feto y recién nacido afectados por influencias nocivas transmitidas a través de la placenta o de la leche materna;Mujeres;Extranjero;;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;;39
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Andalucía;8
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Aragón;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Asturias, Principado de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Balears, Illes;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Canarias;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Cantabria;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Castilla y León;3
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Castilla-La Mancha;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Catalu¤a;6
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Comunitat Valenciana;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Extremadura;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Galicia;3
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Madrid, Comunidad de;10
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Murcia, Región de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Navarra, Comunidad Foral de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;País Vasco;3
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Rioja, La;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Ceuta;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Total;Melilla;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Ambos sexos;Extranjero;;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;;23
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Andalucía;4
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Aragón;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Asturias, Principado de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Balears, Illes;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Canarias;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Cantabria;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Castilla y León;3
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Castilla-La Mancha;1
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Catalu¤a;5
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Comunitat Valenciana;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Extremadura;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Galicia;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Madrid, Comunidad de;6
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Murcia, Región de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Navarra, Comunidad Foral de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;País Vasco;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Rioja, La;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Ceuta;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Total;Melilla;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Hombres;Extranjero;;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;;16
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Andalucía;4
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Aragón;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Asturias, Principado de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Balears, Illes;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Canarias;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Cantabria;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Castilla y León;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Castilla-La Mancha;1
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Catalu¤a;1
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Comunitat Valenciana;2
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Extremadura;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Galicia;1
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Madrid, Comunidad de;4
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Murcia, Región de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Navarra, Comunidad Foral de;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;País Vasco;1
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Rioja, La;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Ceuta;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Total;Melilla;0
14-17 Trastornos relacionados con la duración de la gestación y el crecimiento fetal;Mujeres;Extranjero;;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Andalucía;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Aragón;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Asturias, Principado de;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Balears, Illes;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Canarias;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Cantabria;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Castilla y León;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Castilla-La Mancha;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Catalu¤a;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Comunitat Valenciana;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Extremadura;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Galicia;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Madrid, Comunidad de;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Murcia, Región de;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Navarra, Comunidad Foral de;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;País Vasco;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Rioja, La;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Ceuta;0
18-19 Traumatismo del nacimiento;Ambos sexos;Total;Melilla;0
18-19 Traumatismo del nacimiento;Ambos sexos;Extranjero;;0
18-19 Traumatismo del nacimiento;Hombres;Total;;0
18-19 Traumatismo del nacimiento;Hombres;Total;Andalucía;0
18-19 Traumatismo del nacimiento;Hombres;Total;Aragón;0
18-19 Traumatismo del nacimiento;Hombres;Total;Asturias, Principado de;0
18-19 Traumatismo del nacimiento;Hombres;Total;Balears, Illes;0
18-19 Traumatismo del nacimiento;Hombres;Total;Canarias;0
18-19 Traumatismo del nacimiento;Hombres;Total;Cantabria;0
18-19 Traumatismo del nacimiento;Hombres;Total;Castilla y León;0
18-19 Traumatismo del nacimiento;Hombres;Total;Castilla-La Mancha;0
18-19 Traumatismo del nacimiento;Hombres;Total;Catalu¤a;0
18-19 Traumatismo del nacimiento;Hombres;Total;Comunitat Valenciana;0
18-19 Traumatismo del nacimiento;Hombres;Total;Extremadura;0
18-19 Traumatismo del nacimiento;Hombres;Total;Galicia;0
18-19 Traumatismo del nacimiento;Hombres;Total;Madrid, Comunidad de;0
18-19 Traumatismo del nacimiento;Hombres;Total;Murcia, Región de;0
18-19 Traumatismo del nacimiento;Hombres;Total;Navarra, Comunidad Foral de;0
18-19 Traumatismo del nacimiento;Hombres;Total;País Vasco;0
18-19 Traumatismo del nacimiento;Hombres;Total;Rioja, La;0
18-19 Traumatismo del nacimiento;Hombres;Total;Ceuta;0
18-19 Traumatismo del nacimiento;Hombres;Total;Melilla;0
18-19 Traumatismo del nacimiento;Hombres;Extranjero;;0
18-19 Traumatismo del nacimiento;Mujeres;Total;;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Andalucía;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Aragón;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Asturias, Principado de;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Balears, Illes;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Canarias;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Cantabria;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Castilla y León;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Castilla-La Mancha;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Catalu¤a;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Comunitat Valenciana;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Extremadura;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Galicia;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Madrid, Comunidad de;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Murcia, Región de;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Navarra, Comunidad Foral de;0
18-19 Traumatismo del nacimiento;Mujeres;Total;País Vasco;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Rioja, La;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Ceuta;0
18-19 Traumatismo del nacimiento;Mujeres;Total;Melilla;0
18-19 Traumatismo del nacimiento;Mujeres;Extranjero;;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;;127
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Andalucía;29
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Aragón;2
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Asturias, Principado de;2
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Balears, Illes;4
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Canarias;4
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Cantabria;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Castilla y León;6
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Castilla-La Mancha;9
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Catalu¤a;22
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Comunitat Valenciana;11
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Extremadura;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Galicia;5
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Madrid, Comunidad de;16
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Murcia, Región de;7
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Navarra, Comunidad Foral de;2
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;País Vasco;6
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Rioja, La;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Ceuta;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Total;Melilla;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Ambos sexos;Extranjero;;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;;68
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Andalucía;16
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Aragón;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Asturias, Principado de;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Balears, Illes;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Canarias;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Cantabria;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Castilla y León;3
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Castilla-La Mancha;6
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Catalu¤a;16
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Comunitat Valenciana;5
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Extremadura;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Galicia;5
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Madrid, Comunidad de;6
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Murcia, Región de;4
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Navarra, Comunidad Foral de;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;País Vasco;2
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Rioja, La;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Ceuta;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Total;Melilla;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Hombres;Extranjero;;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;;59
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Andalucía;13
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Aragón;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Asturias, Principado de;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Balears, Illes;3
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Canarias;3
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Cantabria;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Castilla y León;3
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Castilla-La Mancha;3
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Catalu¤a;6
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Comunitat Valenciana;6
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Extremadura;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Galicia;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Madrid, Comunidad de;10
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Murcia, Región de;3
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Navarra, Comunidad Foral de;2
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;País Vasco;4
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Rioja, La;1
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Ceuta;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Total;Melilla;0
20-28 Trastornos respiratorios y cardiovasculares específicos del periodo perinatal;Mujeres;Extranjero;;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;;19
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Andalucía;4
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Aragón;1
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Asturias, Principado de;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Balears, Illes;1
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Canarias;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Cantabria;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Castilla y León;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Castilla-La Mancha;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Catalu¤a;5
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Comunitat Valenciana;2
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Extremadura;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Galicia;2
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Madrid, Comunidad de;2
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Murcia, Región de;1
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Navarra, Comunidad Foral de;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;País Vasco;1
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Rioja, La;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Ceuta;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Total;Melilla;0
29-32 Infecciones específicas del periodo perinatal;Ambos sexos;Extranjero;;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;;12
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Andalucía;1
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Aragón;1
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Asturias, Principado de;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Balears, Illes;1
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Canarias;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Cantabria;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Castilla y León;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Castilla-La Mancha;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Catalu¤a;5
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Comunitat Valenciana;2
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Extremadura;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Galicia;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Madrid, Comunidad de;1
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Murcia, Región de;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Navarra, Comunidad Foral de;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;País Vasco;1
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Rioja, La;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Ceuta;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Total;Melilla;0
29-32 Infecciones específicas del periodo perinatal;Hombres;Extranjero;;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;;7
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Andalucía;3
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Aragón;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Asturias, Principado de;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Balears, Illes;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Canarias;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Cantabria;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Castilla y León;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Castilla-La Mancha;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Catalu¤a;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Comunitat Valenciana;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Extremadura;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Galicia;2
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Madrid, Comunidad de;1
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Murcia, Región de;1
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Navarra, Comunidad Foral de;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;País Vasco;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Rioja, La;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Ceuta;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Total;Melilla;0
29-32 Infecciones específicas del periodo perinatal;Mujeres;Extranjero;;0
33-38 Trastornos hemorrágicos y hematológicos del feto y del recién nacido;Ambos sexos;Total;;50
33-38 Trastornos hemorrágicos y hematológicos del feto y del recién nacido;Ambos sexos;Total;Andalucía;13
33-38 Trastornos hemorrágicos y hematológicos del feto y del recién nacido;Ambos sexos;Total;Aragón;1
